EMDB ID,Resolution (Angstrom),FittedPDBs,PDBvolnoGMM,Multiplier,,PDBvol50,PDBvol100,PDBvol150,PDBvol200,EMvol50,EMvol100,EMvol150,EMvol200,PDBvol50wmult,PDBvol100wmult,PDBvol150wmult,PDBvol200wmult
emd_3198,8.04,5fkv,317903.8264,1,5fkv,342745.66,340939.75,335962.44,330864.12,235262.12,214971.36,201245.58,194820.45,342745.66,340939.75,335962.44,330864.12
emd_3202,7.3,5fkw,272357.8007,1,5fkw,293241.59,290878.69,284739.16,281152.5,222301.05,202469.39,190274.09,184888.12,293241.59,290878.69,284739.16,281152.5
emd_3213,5.9,5flc,822952.9059,1,5flc,1058888.12,1045537.25,1039937.75,1028925.69,573310.81,529870.06,491289.59,449097.22,1058888.12,1045537.25,1039937.75,1028925.69
emd_3218,3.4,5flm,568241.8022,1,5flm,586304.06,593351.25,585379.88,577976.81,355612.44,349645.81,340978.72,329887.53,586304.06,593351.25,585379.88,577976.81
emd_3231,3.6,5fmg,670862.3989,1,5fmg,697911.25,701238.75,704675.56,695515.88,681557.75,667985.19,636451.19,609709.62,697911.25,701238.75,704675.56,695515.88
emd_3337,3.9,5fwk,219548.0029,1,5fwk,219735.14,220528.34,218277.2,217662.17,147757.36,129990.13,119182.24,112006.58,219735.14,220528.34,218277.2,217662.17
emd_3342,8,5fwm,245067.9039,1,5fwm,232261.8,235803.59,236594.08,235543.64,217218.91,212483.61,212080.66,212677.27,232261.8,235803.59,236594.08,235543.64
emd_3366,4.2,5g06,483677.1537,1,5g06,494659.56,499399.91,493235.44,490481.91,431037.09,411534.66,382749.19,368491.12,494659.56,499399.91,493235.44,490481.91
emd_3331,3.8,5g2x,279850.8498,1,5g2x,399771.62,382700.78,366211.22,351028.78,250602.64,234986.23,222948.91,218890.23,399771.62,382700.78,366211.22,351028.78
emd_3332,4.5,5g2y,185040.379,1,5g2y,302839.19,282498.84,265830.53,256391.12,158800.05,144667.28,140600.31,137362.39,302839.19,282498.84,265830.53,256391.12
emd_3436,7,5g4f,581921.8872,1,5g4f,600303.75,610046.88,613826.81,613360.5,455105.97,406455.25,362387.19,334552.75,600303.75,610046.88,613826.81,613360.5
emd_3435,7.8,5g4g,569726.5938,1,5g4g,633974.25,643699.69,625704.75,609165.25,499317.06,419990.59,368931.09,329791.38,633974.25,643699.69,625704.75,609165.25
emd_3439,4.8,5g5l,642853.3289,1,5g5l,682109.31,682056.94,681992.25,677304.38,583819.62,540544.94,498925.84,469102.91,682109.31,682056.94,681992.25,677304.38
emd_3440,5.3,5g5p,113388.3118,1,5g5p,114287.91,111589.69,108848.54,108538.08,68333.87,61815.28,59641.61,59711.61,114287.91,111589.69,108848.54,108538.08
emd_8192,3.8,5k10,103842.229,1,5k10,95296.02,93297.09,90042.62,87779.79,44764.46,40062.03,38891.04,37048.25,95296.02,93297.09,90042.62,87779.79
emd_8193,3.8,5k11,102552.517,1,5k11,93922.3,93470.27,91579.59,88611.81,36497.55,30924.22,29821.21,28673.7,93922.3,93470.27,91579.59,88611.81
emd_8194,1.8,5k12,247968.1139,1,5k12,212372.2,208692.03,204981.28,201962.78,215290.16,177356.19,164391.08,152504.09,212372.2,208692.03,204981.28,201962.78
emd_4025,6.1,5khr,320088.9686,1,5khr,1146289.88,1112809.75,1086983,1063964.38,1096913.12,1058444.38,1025900.12,1010085.75,1146289.88,1112809.75,1086983,1063964.38
emd_4038,3.83,5ld2,409905.3656,1,5ld2,425097.72,429961.03,423213.75,413960.31,403566.5,392494.72,375957.56,356669.06,425097.72,429961.03,423213.75,413960.31
emd_4073,3.55,5lmn,808751.6409,1,5lmn,1020456,973760.38,945770,931032,864579.06,818722.75,783933.62,760377.81,1020456,973760.38,945770,931032
emd_4074,4.3,5lmo,832553.6542,1,5lmo,1029832.56,1005216,986511.81,967636.19,875405.38,835877,806187.44,786469,1029832.56,1005216,986511.81,967636.19
emd_4075,5.35,5lmp,831263.6337,1,5lmp,1035429.62,1011645,993748.69,976737.38,895680.81,843647.75,813013.75,791014.69,1035429.62,1011645,993748.69,976737.38
